"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","91.87","$9.04B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.72","$553.46M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.58","$27.79M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.5717","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.676","$52.16M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","26.94","$1.73B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.01","$44.7M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","38.84","$4.9B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","11.77","$120.07M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","34.22","$873.83M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","24.11","$2.72B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","41.57","$2.66B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","15.11","$2.22B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.45","$129.36M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"JOBS","51job, Inc.","69.8","$4.67B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","32.5","$547.7M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"JFK","8i Enterprises Acquisition Corp","10.23","$75.98M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.35","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.75","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.4177","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","16.06","$1.67B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","0.545","$52.46M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"JFU","9F Inc.","2.2","$429.42M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","58.1","$3.02B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","2.98","$249.42M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ABMD","ABIOMED, Inc.","284.55","$12.82B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.2101","$35.31M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","8.28","$595M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","67.65","$2.83B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","4.005","$195.07M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","27.52","$2.45B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","54.97","$8.57B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","10.4","$397.25M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.6","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","1.105","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.708","$65.48M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","17.005","$939.88M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","99.43","$5.91B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACCD","Accolade, Inc.","33.62","$1.64B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",
"ARAY","Accuray Incorporated","2.19","$198.12M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACLL","ACell, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acll",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.26","$101.76M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","3.36","$34.44M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","0.428","$16.06M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","27.09","$3.14B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","2.21","$92.52M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","79.01","$1.44B","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","23.5","$203.74M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","0.7359","$35.31M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATVI","Activision Blizzard, Inc","78.64","$60.59B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"ADMS","Adamas Pharmaceuticals, Inc.","2.67","$75.18M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.77","$56.92M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"AHCO","AdaptHealth Corp. ","18.98","$1.87B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","8.6","$1.32B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","39.89","$5.12B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADXN","Addex Therapeutics Ltd","8.5201","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","88","$1.37B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.58","$27.02M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"ADIL","Adial Pharmaceuticals, Inc","1.42","$19.1M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.2501","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ADTX","ADiTx Therapeutics, Inc.","3.54","$18.31M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adtx",
"ADMA","ADMA Biologics Inc","3.18","$274.58M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","432.42","$207.42B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","11.5","$551.51M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","2.85","$230.52M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","4.66","$86.18M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","70.42","$2.69B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","55.04","$64.46B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","0.5613","$34.58M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"ADVM","Adverum Biotechnologies, Inc.","18.29","$1.47B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","21.4181","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","29.394","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","28.9713","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","19.24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","16.035","$492.01M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.94","$354.12M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","2.09","$48.1M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.8402","$17.38M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","13.71","$637.08M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","78","$1.88B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","1.37","$55.61M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","5.58","$131.76M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.448","$18.43M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","2.09","$25.19M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/aemd",
"AFMD","Affimed N.V.","4.415","$336.64M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFYA","Afya Limited","22.99","$2.14B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"AGBA","AGBA Acquisition Limited","10.4999","$62.74M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.3309","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","11.05","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.3701","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGEN","Agenus Inc.","3.6","$611.2M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","2.54","$221.52M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","17.5","$409.51M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","53.605","$3.69B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.5","$447.81M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","13.37","$7.48B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","22.38","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","22.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","22.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGNCP","AGNC Investment Corp.","21.45","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp",
"API","Agora, Inc.","49.37","$4.9B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/api",
"AGFS","AgroFresh Solutions, Inc.","2.33","$121.29M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.018","n/a","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfsw",
"AIKI","AIkido Pharma Inc.","1.03","$35.97M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/aiki",
